Name,Speed,Modules,Price / GB,DDR,Price
G.Skill Trident Z RGB 32 GB,3200,4 x 8GB,3.437,DDR4,109.99
Kingston FURY Beast 32 GB,3600,4 x 8GB,3.125,DDR4,100.00
Corsair Vengeance RGB Pro 32 GB,3600,4 x 8GB,4.218,DDR4,134.99
Corsair Vengeance LPX 32 GB,4000,4 x 8GB,5.000,DDR4,159.99
Corsair Vengeance RGB RT 32 GB,3600,4 x 8GB,4.062,DDR4,129.99
Crucial CT4K8G4DFS8266 32 GB,2666,4 x 8GB,3.312,DDR4,105.99
G.Skill Ripjaws V 32 GB,4000,4 x 8GB,3.614,DDR4,115.64
G.Skill Ripjaws 32 GB,2400,4 x 8GB,4.844,DDR4,155.00
G.Skill Trident Z RGB 32 GB,3000,4 x 8GB,12.498,DDR4,399.95
Kingston FURY Renegade 32 GB,2666,4 x 8GB,2.854,DDR4,91.34
G.Skill Trident Z RGB 32 GB,4266,4 x 8GB,8.008,DDR4,256.27
Kingston FURY Renegade 32 GB,3600,4 x 8GB,3.998,DDR4,127.93
G.Skill Ripjaws 32 GB,2400,4 x 8GB,2.441,DDR4,78.11
Corsair Vengeance RGB RT 32 GB,3600,4 x 8GB,4.218,DDR4,134.99
Corsair Vengeance LPX 64 GB,3200,2 x 32GB,1.953,DDR4,124.99
G.Skill Ripjaws V 64 GB,3600,2 x 32GB,2.031,DDR4,129.99
G.Skill Trident Z RGB 64 GB,3600,2 x 32GB,2.187,DDR4,139.99
Corsair Vengeance LPX 64 GB,3600,2 x 32GB,1.875,DDR4,119.99
Corsair Vengeance RGB Pro 64 GB,3200,2 x 32GB,2.031,DDR4,129.99
Corsair Vengeance RGB Pro 64 GB,3600,2 x 32GB,2.187,DDR4,139.99
Patriot Viper Steel 64 GB,3200,2 x 32GB,1.672,DDR4,106.99
G.Skill Ripjaws V 64 GB,4400,2 x 32GB,3.281,DDR4,209.99
Kingston FURY Beast 64 GB,3200,2 x 32GB,2.230,DDR4,142.75
Mushkin Enhanced Redline Stiletto 64 GB,3200,2 x 32GB,1.640,DDR4,104.99
Mushkin Enhanced Redline Stiletto 64 GB,3600,2 x 32GB,1.719,DDR4,109.99
Patriot Viper 4 Blackout 64 GB,3600,2 x 32GB,1.703,DDR4,108.99
G.Skill Trident Z RGB 64 GB,4000,2 x 32GB,2.812,DDR4,179.99
TEAMGROUP T-Force Vulcan Z 64 GB,3200,2 x 32GB,1.844,DDR4,117.99
Crucial CT2K32G4DFD832A 64 GB,3200,2 x 32GB,1.683,DDR4,107.71
Patriot Viper 4 Blackout 64 GB,3200,2 x 32GB,1.687,DDR4,107.99
TEAMGROUP T-Force Delta RGB 64 GB,3600,2 x 32GB,2.281,DDR4,145.99
G.Skill Trident Z RGB 64 GB,4400,2 x 32GB,4.112,DDR4,263.16
TEAMGROUP T-Force Delta RGB 64 GB,3200,2 x 32GB,2.187,DDR4,139.99
G.Skill Ripjaws V 64 GB,4000,2 x 32GB,2.656,DDR4,169.99
G.Skill Trident Z Royal 64 GB,3600,2 x 32GB,2.578,DDR4,164.99
G.Skill Trident Z Neo 64 GB,3600,2 x 32GB,3.125,DDR4,199.99
TEAMGROUP T-Create Expert 64 GB,3600,2 x 32GB,1.844,DDR4,117.99
G.Skill Ripjaws V 64 GB,3200,2 x 32GB,2.109,DDR4,134.99
Patriot Viper Steel 64 GB,3600,2 x 32GB,1.765,DDR4,112.99
Mushkin Enhanced Redline Stiletto 64 GB,3600,2 x 32GB,2.578,DDR4,164.99
Corsair Dominator Platinum RGB 64 GB,3600,2 x 32GB,3.359,DDR4,214.99
G.Skill Ripjaws V 64 GB,2666,2 x 32GB,1.875,DDR4,119.99
G.Skill Trident Z Neo 64 GB,3600,2 x 32GB,2.344,DDR4,149.99
Mushkin Silverline 64 GB,3200,2 x 32GB,1.562,DDR4,99.99
TEAMGROUP Elite 64 GB,3200,2 x 32GB,1.609,DDR4,102.99
TEAMGROUP T-Create Expert 64 GB,3200,2 x 32GB,1.812,DDR4,115.99
TEAMGROUP T-Force Vulcan Z 64 GB,3600,2 x 32GB,1.875,DDR4,119.99
Patriot Viper Elite II 64 GB,3600,2 x 32GB,1.703,DDR4,108.99
TEAMGROUP T-Force Xtreem ARGB 64 GB,3600,2 x 32GB,2.344,DDR4,149.99
Corsair Vengeance RGB RT 64 GB,3200,2 x 32GB,2.422,DDR4,154.99
G.Skill Trident Z Royal 64 GB,4000,2 x 32GB,3.125,DDR4,199.99
Mushkin Redline Lumina 64 GB,3600,2 x 32GB,2.344,DDR4,149.99
Kingston FURY Beast RGB 64 GB,3600,2 x 32GB,2.644,DDR4,169.19
TEAMGROUP T-Force Delta RGB 64 GB,3600,2 x 32GB,2.281,DDR4,145.99
Mushkin Essentials 64 GB,2666,2 x 32GB,1.562,DDR4,99.98
Kingston FURY Beast 64 GB,3600,2 x 32GB,2.512,DDR4,160.75
Patriot Viper Steel RGB 64 GB,3600,2 x 32GB,1.797,DDR4,114.99
G.Skill Trident Z5 RGB 64 GB,6400,2 x 32GB,3.359,DDR5,214.99
G.Skill Trident Z5 Neo 64 GB,6000,2 x 32GB,3.203,DDR5,204.99
Corsair Vengeance 64 GB,5200,2 x 32GB,2.500,DDR5,159.99
Corsair Vengeance RGB 64 GB,6000,2 x 32GB,3.281,DDR5,209.99
G.Skill Ripjaws S5 64 GB,6000,2 x 32GB,3.125,DDR5,199.99
G.Skill Flare X5 64 GB,6000,2 x 32GB,2.812,DDR5,179.99
Corsair Dominator Platinum RGB 64 GB,6800,2 x 32GB,5.078,DDR5,324.99
G.Skill Trident Z5 Neo RGB 64 GB,6000,2 x 32GB,3.281,DDR5,209.99
Corsair Vengeance 64 GB,6400,2 x 32GB,3.281,DDR5,209.99
